Date,Description,Category,Amount
05/23/2022,fe,Daycare,$7305.38
10/16/1965,ijo,Daycare,$7692.80
12/10/1940,dimtupad,Daycare,$8722.17
04/21/2015,ulzi,Daycare,$7174.59
05/03/1948,ezupukem,Daycare,$3331.26
01/18/1918,gezto,Daycare,$1635.17
09/20/1960,rowe,Daycare,$5145.13
08/20/2020,cuhadrum,Daycare,$1649.36
03/22/1987,lez,Daycare,$1259.50
09/11/1952,awa,Daycare,$7718.87
08/13/2023,at,Daycare,$9831.14
01/12/1936,zeicadu,Daycare,$6410.85
04/24/1999,dejfe,Daycare,$5662.55
08/01/1917,fohego,Daycare,$8075.41
04/26/1915,ko,Daycare,$1535.76
02/07/1967,ebo,Daycare,$3729.07
01/27/2000,muh,Daycare,$3005.45
03/02/1908,be,Daycare,$8729.38
12/14/2064,ko,Daycare,$6355.59
12/30/1900,tuvjajup,Daycare,$4162.22
10/24/2047,hedopaop,Daycare,$4114.77
04/24/1952,tuki,Daycare,$6929.06
06/13/1962,vanuzud,Daycare,$6727.77
04/12/2038,vuvic,Daycare,$4061.71
07/28/2031,ecvoc,Daycare,$6859.11
07/10/1909,fi,Daycare,$2035.79
03/15/1991,niblel,Daycare,$1121.92
04/16/1975,gij,Daycare,$6500.38
04/21/2013,pofege,Daycare,$4238.36
09/27/2028,jal,Daycare,$2274.77
02/18/1925,jamanmip,Daycare,$9599.69
02/17/1938,sedir,Daycare,$1106.57
05/04/1905,amawiw,Daycare,$4759.42
12/23/2059,usaba,Daycare,$3751.65
07/04/2060,bagjada,Daycare,$813.19
12/21/1919,awuume,Daycare,$23.35
07/04/1938,dim,Daycare,$1224.85
05/06/1972,vafziuju,Daycare,$4828.16
12/06/2046,cokezjeg,Daycare,$9582.16
06/08/2003,ecbido,Daycare,$7686.56
04/22/2046,mome,Daycare,$9221.35
07/17/2013,adeja,Daycare,$3460.03
03/11/1997,gaer,Daycare,$923.74
01/07/2024,ohpe,Daycare,$1787.86
04/05/2057,lofamep,Daycare,$4935.26
08/15/1935,pemus,Daycare,$1037.99
02/03/1923,cusehara,Daycare,$3534.52
02/16/1918,savize,Daycare,$8480.90
11/21/1987,vi,Daycare,$8348.46
11/08/1939,fujzo,Daycare,$4204.58
12/22/2026,bopvak,Daycare,$5565.81
08/17/2042,aj,Daycare,$5726.16
11/16/1960,sab,Daycare,$6752.13
11/22/1961,firkoside,Daycare,$5172.97
08/28/1935,huggoate,Daycare,$4183.40
03/27/1999,biwnadzi,Daycare,$116.13
05/20/1905,fezusu,Daycare,$1226.55
02/01/1972,ihva,Daycare,$9067.36
11/30/1968,wauta,Daycare,$4755.77
09/30/2017,hubezi,Daycare,$9485.67
05/01/1945,nabijosi,Daycare,$5381.13
06/13/2026,wemefoj,Daycare,$8381.25
04/01/1973,juzi,Daycare,$5887.06
06/19/1984,gu,Daycare,$204.33
06/03/1920,kumag,Daycare,$1548.41
12/04/2023,zebamuev,Daycare,$3604.93
03/30/2028,anoco,Daycare,$3006.41
08/19/2041,ka,Daycare,$3274.52
05/27/1967,nedev,Daycare,$548.17
03/06/1933,nadetufa,Daycare,$7117.98
10/31/1956,nikem,Daycare,$6809.41
05/08/1942,zoritko,Daycare,$545.18
04/18/2023,wa,Daycare,$8.30
01/30/2008,rabjuh,Daycare,$6839.19
11/06/1970,zolcabcom,Daycare,$8267.05
01/28/1902,wa,Daycare,$5039.12
05/19/1996,obdojuk,Daycare,$1000.84
05/05/1966,etobu,Daycare,$4631.60
03/07/1900,patupe,Daycare,$9962.23
02/08/2001,vogeri,Daycare,$9415.07
07/27/2030,se,Daycare,$8121.79
07/19/1961,ujaricdiz,Daycare,$2801.76
05/09/2006,pohjedub,Daycare,$3191.40
06/23/1983,lo,Daycare,$2383.01
06/23/1988,mozohe,Daycare,$9946.96
01/05/1979,vacih,Daycare,$2787.67
10/14/2048,rogak,Daycare,$4580.77
07/15/2067,loh,Daycare,$5723.67
08/28/1926,tis,Daycare,$8792.93
10/01/1919,su,Daycare,$9778.27
08/10/2023,wonedco,Daycare,$1871.81
03/28/1915,hiperu,Daycare,$328.21
06/19/2054,sopepbu,Daycare,$5053.52
07/21/1947,bow,Daycare,$7240.43
11/14/1971,roz,Daycare,$1116.09
10/09/1902,za,Daycare,$2793.00
09/19/2029,huk,Daycare,$6521.58
11/23/1952,sovsile,Daycare,$2246.74
12/08/2049,latdak,Daycare,$9570.78
08/11/2062,zi,Daycare,$6461.26
08/24/1940,ecdidu,Daycare,$4525.39
02/03/1977,jegnapa,Daycare,$7107.82
11/06/1969,heb,Daycare,$1106.60
07/21/2009,uva,Daycare,$5042.93
09/25/2021,pawripnow,Daycare,$3571.69
04/22/1973,je,Daycare,$3346.01
12/22/1917,wotis,Daycare,$8931.43
01/03/1949,hu,Daycare,$7082.00
04/28/1912,fu,Daycare,$7276.53
03/10/1906,ov,Daycare,$7710.61
11/01/1936,pojolgo,Daycare,$6799.20
07/14/1935,dinno,Daycare,$2773.85
10/26/1993,vaj,Daycare,$8802.02
11/02/1980,egmuc,Daycare,$8751.74
08/15/1962,bab,Daycare,$3381.61
12/04/1938,or,Daycare,$6625.65
08/15/2016,fectav,Daycare,$1117.39
11/09/1961,ve,Daycare,$4544.84
03/19/2014,diltero,Daycare,$2144.27
08/20/1978,lutwoh,Daycare,$7067.78
01/15/1918,sis,Daycare,$7060.44
09/17/1914,jo,Daycare,$6552.48
02/15/1992,nav,Daycare,$1993.99
09/22/1920,zog,Daycare,$747.00
01/02/1904,rasnade,Daycare,$5779.23
04/17/1979,tokifumav,Daycare,$3214.23
05/31/2070,rupcetep,Daycare,$8042.75
01/08/1988,ic,Daycare,$5148.63
08/10/2013,horo,Daycare,$8744.36
01/19/2006,ifi,Daycare,$4380.44
06/27/1994,obi,Daycare,$3091.57
04/04/1963,jek,Daycare,$7153.88
12/16/2064,zacjom,Daycare,$7152.92
04/23/2002,vom,Daycare,$978.02
06/29/2017,fo,Daycare,$1866.44
08/27/2046,ih,Daycare,$7697.57
11/10/1978,zepaglu,Daycare,$830.30
01/31/1939,peberdow,Daycare,$9980.63
09/15/2032,ewusot,Daycare,$6067.52
09/11/1977,zikrug,Daycare,$1725.72
07/20/1938,febpov,Daycare,$3604.33
01/09/1983,esnatge,Daycare,$6090.35
01/07/1940,dokhazpaw,Daycare,$4499.78
07/11/1951,wal,Daycare,$2269.42
05/14/1925,nadunet,Daycare,$1119.10
07/13/1915,odjiaw,Daycare,$8558.63
02/19/1949,hehad,Daycare,$1460.02
12/10/1917,jad,Daycare,$1428.08
05/07/1918,ufa,Daycare,$3626.20
11/22/1902,wuhak,Daycare,$4699.25
08/24/2021,ajenonki,Daycare,$1775.33
02/13/2041,je,Daycare,$5451.46
08/12/1954,en,Daycare,$4314.75
09/08/2012,mevlafo,Daycare,$8893.39
03/24/1983,ezno,Daycare,$2379.23
09/14/1923,re,Daycare,$4602.50
08/29/2070,dafuwe,Daycare,$2961.12
07/19/1966,emamaud,Daycare,$6362.59
08/25/1968,pil,Daycare,$5701.36
11/01/2032,icuconu,Daycare,$6726.48
12/31/1934,ije,Daycare,$8055.38
11/17/1912,wuori,Daycare,$4166.96
04/24/1935,wobe,Daycare,$880.28
11/07/1928,pumzochut,Daycare,$774.23
08/25/2021,fuk,Daycare,$4422.94
11/27/2023,lut,Daycare,$9383.07
10/28/2011,paphe,Daycare,$4869.87
06/22/1912,hugopaju,Daycare,$4965.40
10/10/1960,gaoznut,Daycare,$4886.67
11/07/1972,lik,Daycare,$4280.21
06/04/1951,icbabpo,Daycare,$4672.23
04/18/2069,wi,Daycare,$4410.58
02/18/2038,ledesop,Daycare,$272.79
08/12/1989,ho,Daycare,$1627.65
10/11/2060,kuaw,Daycare,$7000.38
06/05/2017,lekpi,Daycare,$9385.65
10/11/1994,di,Daycare,$5897.31
11/12/1995,bopdil,Daycare,$4984.44
09/26/2032,taruvrik,Daycare,$9618.08
03/01/1935,odbe,Daycare,$7219.06
09/29/1949,usobepub,Daycare,$4046.94
07/16/2013,co,Daycare,$5991.89
03/13/2018,liopgef,Daycare,$9529.30
06/21/1942,nur,Daycare,$3822.05
06/15/2042,ib,Daycare,$7367.37
03/31/1973,ohishat,Daycare,$3890.72
11/26/2009,ku,Daycare,$5568.35
10/03/1938,aflubul,Daycare,$3630.82
06/14/1947,deepo,Daycare,$2098.25
02/12/2019,ep,Daycare,$6042.58
04/06/1992,ta,Daycare,$332.20
08/01/1938,din,Daycare,$7534.56
07/30/1944,tuubsun,Daycare,$1104.14
01/12/1997,begdaj,Daycare,$7994.14
08/31/1911,safmijev,Daycare,$9329.29
04/16/1974,ati,Daycare,$7178.58
02/17/1951,kaecagub,Daycare,$7196.85
10/13/1953,wibu,Daycare,$1188.48
05/03/2008,ev,Daycare,$5515.76
12/23/2013,ajika,Daycare,$6239.05
07/21/2029,ase,Daycare,$8810.47
03/16/1915,biwe,Daycare,$5072.39
05/29/2011,cojvukon,Daycare,$5739.62
10/04/1993,pesoca,Daycare,$6396.77
07/07/1950,etujat,Daycare,$2560.92
05/16/1967,ke,Daycare,$9231.93
10/28/1962,wurgukfi,Daycare,$7521.39
12/08/1966,alcuh,Daycare,$2899.96
03/24/1915,veg,Daycare,$9863.08
07/27/1937,naniegi,Daycare,$8655.07
03/02/2032,lib,Daycare,$1901.21
11/28/1932,sivcikur,Daycare,$720.22
06/03/1963,gacva,Daycare,$405.04
09/18/2028,cu,Daycare,$1469.29
11/22/2036,utaj,Daycare,$3878.14
11/14/1935,gow,Daycare,$3904.37
03/28/2026,afsej,Daycare,$1647.80
04/06/1913,cowovveb,Daycare,$9305.94
12/04/2055,wainivu,Daycare,$4949.01
02/26/2035,luihe,Daycare,$1215.93
05/22/2014,neifbig,Daycare,$1422.84
08/31/1923,ru,Daycare,$3099.27
10/18/2058,akahos,Daycare,$8670.73
04/05/1950,wehorril,Daycare,$1610.39
07/07/1970,vumi,Daycare,$6841.18
11/27/1959,izeifeje,Daycare,$2532.03
12/30/2032,polceeb,Daycare,$9511.75
06/15/1968,fazure,Daycare,$9256.16
04/16/1975,levutfug,Daycare,$764.93
04/08/2014,tum,Daycare,$121.39
09/03/2003,ewcitko,Daycare,$8755.73
03/16/1906,tu,Daycare,$8232.45
02/06/1980,bob,Daycare,$6292.22
09/25/1962,zibloojo,Daycare,$3093.03
08/08/2022,binuufe,Daycare,$1134.41
07/03/1923,salne,Daycare,$8846.17
07/05/1996,cigguj,Daycare,$5702.95
03/02/1925,ja,Daycare,$4764.87
08/20/1939,afubjof,Daycare,$1695.56
01/24/1949,tujboud,Daycare,$6435.73
12/13/2064,ze,Daycare,$9958.00
10/06/1971,demiwhuf,Daycare,$4109.50
08/30/2052,co,Daycare,$276.02
08/06/1918,ugajiasi,Daycare,$3413.53
11/12/1947,ze,Daycare,$9409.03
06/25/1905,ja,Daycare,$3830.64
09/06/1922,jobovsuf,Daycare,$396.76
12/28/1905,hoarbij,Daycare,$5951.67
12/04/1950,hefifem,Daycare,$2844.22
08/08/1907,uho,Daycare,$5458.30
08/14/2003,gakul,Daycare,$8892.28
03/17/2035,sipogge,Daycare,$8540.80
03/09/1903,januzewo,Daycare,$9590.82
03/01/2023,we,Daycare,$3520.91
09/05/2006,amgiti,Daycare,$8766.98
12/10/2057,livlol,Daycare,$519.37
01/29/1975,juvief,Daycare,$4921.79
10/18/2053,muikaufe,Daycare,$6946.49
02/13/1926,ve,Daycare,$2905.11
07/12/2060,marersis,Daycare,$5968.24
08/11/1964,fuzi,Daycare,$7279.53
12/21/2008,odouw,Daycare,$4539.28
10/05/2011,udukure,Daycare,$2668.84
01/22/2054,vapiffid,Daycare,$6543.17
02/17/2023,hobciv,Daycare,$4273.81
08/15/1932,pisgafruj,Daycare,$8293.78
06/30/1936,apaliz,Daycare,$2542.31
07/28/2070,loel,Daycare,$7759.98
11/16/2029,nih,Daycare,$3193.37
06/10/1941,wu,Daycare,$8648.98
11/01/1935,ze,Daycare,$6419.54
10/19/1941,miknucup,Daycare,$9365.29
11/30/1982,bipum,Daycare,$1391.94
06/01/1977,nasijweg,Daycare,$7195.63
10/24/2066,bijujuna,Daycare,$4042.86
11/24/1920,ze,Daycare,$8452.68
03/04/1911,batde,Daycare,$8825.38
09/29/2059,ih,Daycare,$9993.22
12/14/1952,dokureaz,Daycare,$9044.63
07/23/1983,saggo,Daycare,$2619.38
11/03/2006,becjiz,Daycare,$7246.04
10/23/1938,oze,Daycare,$2765.89
07/12/1902,voj,Daycare,$5779.29
09/08/1995,no,Daycare,$1494.69
03/14/2044,govuva,Daycare,$1653.00
11/05/1987,jaajedog,Daycare,$8009.98
07/11/2044,bonecet,Daycare,$8666.95
08/21/1988,mujuhu,Daycare,$7845.66
12/25/1994,ru,Daycare,$9978.06
12/21/2014,pe,Daycare,$9563.60
10/24/2062,kewdaka,Daycare,$965.76
11/09/2052,govav,Daycare,$6350.58
10/09/1946,matif,Daycare,$4097.54
10/19/1933,zutiso,Daycare,$890.99
12/10/1907,ud,Daycare,$1413.91
08/26/1959,huvhone,Daycare,$5150.55
01/18/1925,er,Daycare,$1049.98
12/17/1919,ijsuzugi,Daycare,$6289.22
01/13/2055,juunosa,Daycare,$2659.36
08/17/2022,dafamu,Daycare,$4031.00
01/06/1983,dukfulo,Daycare,$6146.53
07/11/2044,wub,Daycare,$5221.45
09/17/1943,ebebazi,Daycare,$4237.98
10/09/2028,so,Daycare,$9742.44
04/28/2013,sam,Daycare,$2168.52
10/25/2011,kigsu,Daycare,$1205.63
07/05/1960,zeces,Daycare,$9846.23
05/01/1924,pabushe,Daycare,$6060.15
12/28/2004,diz,Daycare,$1927.05
04/25/2042,ozeiko,Daycare,$892.31
03/23/1978,jaco,Daycare,$8922.00
10/28/2024,mu,Daycare,$2472.84
05/24/1998,mus,Daycare,$7087.50
12/30/2016,ovorep,Daycare,$1677.08
01/07/2032,jip,Daycare,$5976.31
09/17/2030,wezciz,Daycare,$4131.62
08/07/1973,begfa,Daycare,$3066.14
05/21/1980,uhu,Daycare,$3273.13
10/10/1962,pavjaep,Daycare,$5175.00
05/18/1956,emolaza,Daycare,$8512.78
05/03/1907,tid,Daycare,$3207.73
11/19/1948,dejzi,Daycare,$632.91
09/19/1901,to,Daycare,$2561.99
09/30/2031,koivmuc,Daycare,$2414.10
09/21/2053,duf,Daycare,$4055.56
07/12/2014,weju,Daycare,$6947.81
04/03/1951,aslon,Daycare,$9450.99
05/14/1920,onro,Daycare,$680.82
01/05/1997,jubsenwod,Daycare,$6355.12
10/22/1981,jif,Daycare,$9340.76
06/04/1933,zowwaleri,Daycare,$8359.89
12/05/2041,soopa,Daycare,$2169.45
05/31/1959,ewumijeru,Daycare,$9628.34
06/25/2015,rub,Daycare,$3979.44
09/19/1912,ipe,Daycare,$7560.33
05/09/2022,acuro,Daycare,$8291.39
04/04/1954,ketetfa,Daycare,$4797.85
05/21/2040,gev,Daycare,$150.61
04/06/1995,adose,Daycare,$6190.57
12/14/1979,zubnuzne,Daycare,$1669.80
10/11/1914,ta,Daycare,$9098.27
06/23/1985,gowat,Daycare,$2960.99
04/01/2014,gevcutte,Daycare,$9287.33
03/25/1907,nusez,Daycare,$1842.71
12/11/2031,vowle,Daycare,$3538.57
01/07/1917,upogimje,Daycare,$1532.87
03/22/1982,bico,Daycare,$4444.90
01/18/2055,fa,Daycare,$7736.01
07/05/1902,ver,Daycare,$7054.68
12/04/1948,fervajeb,Daycare,$5400.94
03/26/1904,molnu,Daycare,$7405.95
04/25/1905,lesjurefo,Daycare,$1305.20
05/31/1959,fitpozeha,Daycare,$5003.85
03/28/1914,ul,Daycare,$3743.93
11/07/1944,vopa,Daycare,$9087.44
12/09/2055,iviceiru,Daycare,$3173.68
11/04/2061,cuwmah,Daycare,$8153.20
12/15/1917,rubteproz,Daycare,$8232.05
04/29/1998,pavhiobo,Daycare,$50.91
03/08/1923,cawe,Daycare,$8302.82
07/22/1913,uju,Daycare,$3498.12
07/28/1940,budorwi,Daycare,$9335.65
03/09/1900,puj,Daycare,$596.56
