Date,Description,Category,Amount
08/02/1917,mengoolo,Daycare,$6442.03
06/29/2027,bo,Daycare,$8376.14
02/19/1916,digke,Daycare,$928.34
03/29/2059,hekik,Daycare,$8267.91
06/13/1942,segte,Daycare,$5895.73
06/18/2025,johhu,Daycare,$786.99
09/04/1981,jojjorri,Daycare,$8098.39
06/09/1967,bipebaazo,Daycare,$3136.97
07/06/1971,le,Daycare,$1995.49
06/18/1990,az,Daycare,$1020.45
10/12/1978,ic,Daycare,$1115.49
06/07/1919,kuine,Daycare,$2980.81
11/08/1907,asholvaz,Daycare,$8666.12
12/27/2025,kisla,Daycare,$9399.79
01/07/2064,bufoloh,Daycare,$9268.84
06/27/2014,boppekam,Daycare,$1898.72
03/21/2043,juthab,Daycare,$1832.27
08/17/2042,buwnasdid,Daycare,$6427.43
03/28/2052,juh,Daycare,$1878.50
04/05/1968,hugij,Daycare,$9281.07
12/25/1922,gol,Daycare,$5507.15
09/12/1942,gib,Daycare,$5165.69
06/08/2000,lovefi,Daycare,$1593.42
06/10/1934,ecvobve,Daycare,$9847.26
06/22/2046,dodsi,Daycare,$8255.86
11/20/1960,ebuzu,Daycare,$8396.37
05/01/1911,ridewif,Daycare,$7570.42
07/05/1953,pak,Daycare,$5259.58
09/03/2054,noserap,Daycare,$8739.07
07/26/1970,ol,Daycare,$9037.33
02/26/1958,hewru,Daycare,$4634.82
07/04/2060,cofmo,Daycare,$6964.76
09/23/1945,tehoz,Daycare,$8815.15
09/10/1920,vewuuda,Daycare,$6402.72
11/20/2012,bif,Daycare,$7820.54
03/07/2032,do,Daycare,$4468.51
04/09/1955,kave,Daycare,$1211.11
08/03/1970,nedapva,Daycare,$5373.44
04/02/2054,vivapdu,Daycare,$8604.23
01/27/1920,aj,Daycare,$6637.19
01/19/2011,dap,Daycare,$1291.87
04/10/2045,jizodrat,Daycare,$8816.33
04/05/2030,haror,Daycare,$4139.49
06/04/1944,ta,Daycare,$6859.52
08/26/2060,ga,Daycare,$7042.12
09/23/1943,zik,Daycare,$3879.14
01/05/1949,cen,Daycare,$4105.59
09/23/1905,rakgosnuk,Daycare,$743.47
11/04/1929,kinu,Daycare,$9764.88
02/24/2048,utun,Daycare,$5581.52
10/04/2051,pievais,Daycare,$6437.64
05/16/1974,liz,Daycare,$8496.42
09/27/1978,ur,Daycare,$1070.44
04/15/2046,jedomi,Daycare,$2950.09
